商品ID	商店类型	对应物品ID	轮替商品ID	对应物品数量	消耗金币	消耗水晶	消耗创世结晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	限购数量	刷新类型	刷新参数	提前预览天数	上架时间	下架时间	是否终身限购	前置条件	前置条件参数	条件参数1	条件参数2	前置条件屏蔽显示	最小可见等级	最小队伍等级	最大队伍等级	排序等级	二级页签ID	n选1组ID	显示平台
202053	1003	101219		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202054	1003	101220		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202055	1003	101221		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202056	1003	101225		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202057	1003	101226		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202058	1003	101227		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202059	1003	100054		1	11111															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202060	1003	104012		1	1000															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202061	1003	104013		1	2000															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202062	1003	104201		15	5000															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202063	1003	113021		1	40000															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202064	1003	105002		1	1000															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202065	1003	105003		1	2000															2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203001	1004	100075		1	60												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203002	1004	100077		1	80												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203003	1004	100076		1	80												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203004	1004	100078		1	100												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203005	1004	100079		1	120												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203006	1004	100018		1	120												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203007	1004	100080		1	120												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203008	1004	100017		1	100												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203009	1004	112002		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203010	1004	112005		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203011	1004	112008		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203012	1004	112011		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203013	1004	112014		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203014	1004	112017		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203015	1004	112020		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203016	1004	112023		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203017	1004	112026		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203018	1004	112029		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203019	1004	112032		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203020	1004	112035		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203021	1004	112038		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203022	1004	112041		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203023	1004	112044		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203024	1004	112047		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203025	1004	112050		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203026	1004	112053		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203027	1004	112056		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203028	1004	112059		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203029	1004	112062		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203030	1004	112065		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203031	1004	112068		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203032	1004	112071		1	2000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203033	1004	113005		1	300000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203034	1004	113008		1	300000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203035	1004	113015		1	300000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203036	1004	113017		1	300000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203037	1004	113026		1	300000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203038	1004	113034		1	300000												3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
204001	1005	108005		1	200											5	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
204002	1005	108002		1	1025											5	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	9			
204003	1005	108012		1	450											5	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
204004	1005	110001		1	150											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	7			
204005	1005	110002		1	150											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	7			
204006	1005	110003		1	900											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	7			
204007	1005	110004		1	270											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	7			
204008	1005	110005		1	630											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	7			
204009	1005	110006		1	450											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	7			
204010	1005	100074		1	1125											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	7			
204011	1005	110008		1	1475											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	7			
204012	1005	110009		1	420											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	7			
204013	1005	110010		1	720											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	7			
204014	1005	110011		1	840											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	7			
204015	1005	109401		1	2500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	15	99	5			
204016	1005	109103		1	2500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	20	99	5			
204017	1005	109203		1	2500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	25	99	5			
204018	1005	109106		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	30	99	4			
204019	1005	109107		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	35	99	4			
204020	1005	109304		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	40	99	4			
204021	1005	109445		1	1250											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	15	99	6			
204022	1005	109444		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	30	99	4			
205001	1011	100012		1	200											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
205002	1011	100024		1	1000											5	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
205003	1011	100023		1	1000											5	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
205004	1011	100055		1	1000											5	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
205005	1011	100056		1	1000											5	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
206001	1012	108149		1	1500											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
206002	1012	108150		1	1500											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
206003	1012	108151		1	1500											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
206004	1012	108469		1	1500											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
206005	1012	109516		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	13			
207001	1013	60414		1	50000											1	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
207002	1013	60424		1	50000											1	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
207003	1013	60434		1	50000											1	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
207004	1013	60444		1	50000											1	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
207005	1013	60454		1	50000											1	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
208001	1014	11303		1	300											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
208002	1014	12101		1	300											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
208003	1014	13101		1	300											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
208004	1014	14101		1	300											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
208005	1014	15101		1	300											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
209001	1015	108008		1	530											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
209002	1015	108012		1	450											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
209003	1015	108035		1	1850											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
210001	1016	108147		1	300											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
211001	1017	100061		1	240											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
211002	1017	100064		1	240											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
211003	1017	100062		1	200											5	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
212001	1018	100015		1	280											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
212002	1018	100016		1	150											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
212003	1018	100021		1	1000											5	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
212004	1018	100022		1	1000											5	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
212005	1018	100025		1	1000											5	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
215001	1064	221036		1				131000	3							1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
215002	1064	221037		1				131000	3							1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
215003	1064	221038		1				131000	3							1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
215004	1064	200901		1				131000	20	131003	20	131008	20	131015	20	1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
215005	1064	220065		1				131000	3							1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
216001	1068	220024		1	150000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
216002	1068	220025		1	150000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
216003	1068	220027		1	150000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
1051001	1051	393113		1	25000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
1051002	1051	390503		1	50000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	9			
1051003	1051	390504		1	50000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	9			
1051004	1051	350001		1	50000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	9			
301001	1009	104111		1				307	10											2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301002	1009	104121		1				307	10											2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301003	1009	104151		1				307	10											2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301004	1009	104161		1				307	10											2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301005	1009	104171		1				307	10											2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301006	1009	104141		1				307	10											2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301007	1009	114013		1				307	4							50				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301008	1009	114017		1				307	4							50				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301009	1009	114021		1				307	4							50				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301010	1009	917		1				307	225							4				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301011	1009	101102		1				307	225							1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301012	1009	101103		1				307	225							1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301013	1009	101104		1				307	225							1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301014	1009	101105		1				307	225							1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
301015	1009	202		6666				307	1											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301016	1009	202		10000				100016	10											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301017	1009	202		10000				100011	10											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301018	1009	202		10000				100012	10											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301019	1009	202		10000				100051	10											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301020	1009	202		10000				100020	10											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301021	1009	11505		1				301	666											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301022	1009	11509		1				301	666											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301023	1009	12502		1				301	666											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301024	1009	12510		1				301	666											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301025	1009	13501		1				301	666											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301026	1009	13509		1				301	666											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301027	1009	14509		1				301	666											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301028	1009	14511		1				301	666											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301029	1009	15507		1				301	666											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
301030	1009	15511		1				301	666											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
302001	1008	100075		1	60											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
302002	1008	100077		1	80											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
302003	1008	100076		1	80											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
302004	1008	100078		1	100											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
302005	1008	100079		1	120											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
302006	1008	100018		1	120											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
302007	1008	100080		1	120											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
302008	1008	100017		1	100											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
302009	1008	100092		1	100											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
302010	1008	100093		1	120											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
302011	1008	100088		1	100											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
302012	1008	100089		1	120											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
303001	1010	108005		1	200											5	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
303002	1010	108002		1	1025											5	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
303003	1010	108012		1	450											5	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
303004	1010	110001		1	150											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	9			
303005	1010	110006		1	450											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	9			
303006	1010	110011		1	840											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	9			
303007	1010	109417		1	1250											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	6			
303008	1010	109409		1	2500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	15	99	5			
303009	1010	109416		1	2500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	20	99	5			
303010	1010	109413		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	30	99	4			
303011	1010	109414		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	35	99	4			
303012	1010	109423		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	40	99	4			
303013	1010	109426		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	25	99	4			
303014	1010	109442		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	30	99	4			
303015	1010	100084		1	240											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	8			
303016	1010	100073		1	240											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	8			
303017	1010	110005		1	630											10	2	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	9			
303018	1010	100091		1	240											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	8			
303019	1010	100026		1	300											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	8			
303020	1010	100063		1	300											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	8			
303021	1010	100011		1	180											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	8			
303022	1010	100013		1	260											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	8			
303023	1010	100014		1	350											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	8			
303024	1010	100027		1	1000											5	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	7			
303025	1010	109446		1	2500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	5			
303026	1010	109447		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	4			
303027	1010	109432		1	2500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	5			
303028	1010	109439		1	1250											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	10	99	6			
303029	1010	109488		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	4			
304001	1019	109437		1	2500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
304002	1019	108192		1	1925											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	5			
304003	1019	108142		1	2150											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	5			
304004	1019	108159		1	12000											2	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	3			
304005	1019	109434		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	9			
304006	1019	108183		1	7275											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	4			
305001	1020	109433		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	9			
305002	1020	108126		1	5700											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	4			
305003	1020	108180		1	5775											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	4			
305004	1020	108102		1	12200											2	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	3			
305005	1020	109435		1	2500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
305006	1020	108186		1	1375											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	5			
306001	1021	109419		1	2500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
306002	1021	100031		1	600											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
306003	1021	100032		1	240											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
306004	1021	100026		1	300											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
306005	1021	100052		1	1000											5	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
306006	1021	100053		1	1000											5	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
306007	1021	100034		1	1000											5	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
307001	1022	100084		1	300											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
307002	1022	100084		3	1000											5	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
308001	1023	100084		1	240											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
308002	1023	100073		1	240											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
308003	1023	100093		1	150											50	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
309001	1024	100001		1	200											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
310001	1025	61414		1	50000											1	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
310002	1025	61424		1	50000											1	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
310003	1025	61434		1	50000											1	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
310004	1025	61444		1	50000											1	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
310005	1025	61454		1	50000											1	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
311001	1026	108109		1	380											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
311002	1026	108099		1	900											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
312001	1027	108073		1	6600											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
312002	1027	108093		1	430											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
313001	1028	101001		1	120											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
313002	1028	101002		1	400											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
313003	1028	100028		1	1000											5	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
314001	1029	100574		1	1500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
314002	1029	100575		1	1500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
314003	1029	100589		1	1500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
314004	1029	100567		1	1500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
314005	1029	100400		1	1500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
314006	1029	100593		1	3000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
314007	1029	100432		1	3000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
314008	1029	100435		1	3000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
314009	1029	100436		1	3000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
314010	1029	100439		1	3000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
314011	1029	100638		1	1500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
314012	1029	100640		1	1500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
314013	1029	100643		1	1500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
314014	1029	100644		1	1500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
314015	1029	100730		1	1500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
314016	1029	100731		1	1500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
315001	1030	108148		1	1000											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
315002	1030	108093		1	430											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
315003	1030	108099		1	900											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
316001	1031	109424		1	2500											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
316002	1031	109422		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	9			
316003	1031	100088		1	120											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
316004	1031	100089		1	150											10	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
316005	1031	100029		1	1000											5	3	3		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
316006	1031	100030		1	50000											3	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
316007	1031	109443		1	5000											1				2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	9			
316008	1031	108129		1	6150											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	8			
317001	1032	108148		1	1000											10	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
318001	1033	83534		1	50000											10	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
318002	1033	84534		1	50000											10	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
318003	1033	85534		1	50000											10	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
318004	1033	87534		1	50000											10	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
318005	1033	104174		1	100000											5	2	4		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
319001	1034	108081		1	1550											2	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	10			
